PING google.com (172.217.192.138) 56(84) bytes of data.
64 bytes from 172.217.192.138: icmp_seq=1 ttl=103 time=118 ms
64 bytes from 172.217.192.138: icmp_seq=2 ttl=103 time=136 ms
64 bytes from 172.217.192.138: icmp_seq=3 ttl=103 time=53.6 ms
64 bytes from 172.217.192.138: icmp_seq=4 ttl=103 time=73.3 ms
64 bytes from 172.217.192.138: icmp_seq=5 ttl=103 time=32.7 ms
64 bytes from 172.217.192.138: icmp_seq=6 ttl=103 time=32.7 ms
64 bytes from 172.217.192.138: icmp_seq=7 ttl=103 time=32.9 ms
64 bytes from 172.217.192.138: icmp_seq=8 ttl=103 time=32.6 ms
64 bytes from 172.217.192.138: icmp_seq=9 ttl=103 time=32.6 ms
64 bytes from 172.217.192.138: icmp_seq=10 ttl=103 time=33.2 ms
64 bytes from 172.217.192.138: icmp_seq=11 ttl=103 time=33.2 ms
64 bytes from 172.217.192.138: icmp_seq=12 ttl=103 time=132 ms
64 bytes from 172.217.192.138: icmp_seq=13 ttl=103 time=33.4 ms
64 bytes from 172.217.192.138: icmp_seq=14 ttl=103 time=68.4 ms
64 bytes from 172.217.192.138: icmp_seq=15 ttl=103 time=89.7 ms
64 bytes from 172.217.192.138: icmp_seq=16 ttl=103 time=108 ms
64 bytes from 172.217.192.138: icmp_seq=17 ttl=103 time=34.0 ms
64 bytes from 172.217.192.138: icmp_seq=18 ttl=103 time=46.4 ms
64 bytes from 172.217.192.138: icmp_seq=19 ttl=103 time=66.6 ms
64 bytes from 172.217.192.138: icmp_seq=20 ttl=103 time=86.1 ms
64 bytes from 172.217.192.138: icmp_seq=21 ttl=103 time=200 ms
64 bytes from 172.217.192.138: icmp_seq=22 ttl=103 time=157 ms
64 bytes from 172.217.192.138: icmp_seq=23 ttl=103 time=183 ms
64 bytes from 172.217.192.138: icmp_seq=24 ttl=103 time=33.1 ms
64 bytes from 172.217.192.138: icmp_seq=25 ttl=103 time=33.1 ms
64 bytes from 172.217.192.138: icmp_seq=26 ttl=103 time=33.3 ms
64 bytes from 172.217.192.138: icmp_seq=27 ttl=103 time=33.1 ms
64 bytes from 172.217.192.138: icmp_seq=28 ttl=103 time=33.1 ms
64 bytes from 172.217.192.138: icmp_seq=29 ttl=103 time=33.3 ms
64 bytes from 172.217.192.138: icmp_seq=30 ttl=103 time=33.1 ms
64 bytes from 172.217.192.138: icmp_seq=31 ttl=103 time=33.2 ms
64 bytes from 172.217.192.138: icmp_seq=32 ttl=103 time=122 ms
64 bytes from 172.217.192.138: icmp_seq=33 ttl=103 time=143 ms
64 bytes from 172.217.192.138: icmp_seq=34 ttl=103 time=57.2 ms
64 bytes from 172.217.192.138: icmp_seq=35 ttl=103 time=75.9 ms
64 bytes from 172.217.192.138: icmp_seq=36 ttl=103 time=95.7 ms
64 bytes from 172.217.192.138: icmp_seq=37 ttl=103 time=115 ms
64 bytes from 172.217.192.138: icmp_seq=38 ttl=103 time=133 ms
64 bytes from 172.217.192.138: icmp_seq=39 ttl=103 time=49.9 ms
64 bytes from 172.217.192.138: icmp_seq=40 ttl=103 time=68.8 ms
64 bytes from 172.217.192.138: icmp_seq=41 ttl=103 time=86.8 ms
64 bytes from 172.217.192.138: icmp_seq=42 ttl=103 time=109 ms
64 bytes from 172.217.192.138: icmp_seq=43 ttl=103 time=125 ms
64 bytes from 172.217.192.138: icmp_seq=44 ttl=103 time=41.8 ms
64 bytes from 172.217.192.138: icmp_seq=45 ttl=103 time=60.3 ms
64 bytes from 172.217.192.138: icmp_seq=46 ttl=103 time=78.5 ms
64 bytes from 172.217.192.138: icmp_seq=47 ttl=103 time=98.4 ms
64 bytes from 172.217.192.138: icmp_seq=48 ttl=103 time=117 ms
64 bytes from 172.217.192.138: icmp_seq=49 ttl=103 time=139 ms
64 bytes from 172.217.192.138: icmp_seq=50 ttl=103 time=56.8 ms
64 bytes from 172.217.192.138: icmp_seq=51 ttl=103 time=76.0 ms
64 bytes from 172.217.192.138: icmp_seq=52 ttl=103 time=95.2 ms
64 bytes from 172.217.192.138: icmp_seq=53 ttl=103 time=34.4 ms
64 bytes from 172.217.192.138: icmp_seq=54 ttl=103 time=132 ms
64 bytes from 172.217.192.138: icmp_seq=55 ttl=103 time=53.6 ms
64 bytes from 172.217.192.138: icmp_seq=56 ttl=103 time=73.9 ms
64 bytes from 172.217.192.138: icmp_seq=57 ttl=103 time=92.9 ms
64 bytes from 172.217.192.138: icmp_seq=58 ttl=103 time=113 ms
64 bytes from 172.217.192.138: icmp_seq=59 ttl=103 time=134 ms
64 bytes from 172.217.192.138: icmp_seq=60 ttl=103 time=34.0 ms
64 bytes from 172.217.192.138: icmp_seq=61 ttl=103 time=75.3 ms
64 bytes from 172.217.192.138: icmp_seq=62 ttl=103 time=93.9 ms
64 bytes from 172.217.192.138: icmp_seq=63 ttl=103 time=36.8 ms
64 bytes from 172.217.192.138: icmp_seq=64 ttl=103 time=135 ms
64 bytes from 172.217.192.138: icmp_seq=65 ttl=103 time=53.9 ms
64 bytes from 172.217.192.138: icmp_seq=66 ttl=103 time=74.1 ms
64 bytes from 172.217.192.138: icmp_seq=67 ttl=103 time=97.2 ms
64 bytes from 172.217.192.138: icmp_seq=68 ttl=103 time=33.8 ms
64 bytes from 172.217.192.138: icmp_seq=69 ttl=103 time=141 ms
64 bytes from 172.217.192.138: icmp_seq=70 ttl=103 time=59.2 ms
64 bytes from 172.217.192.138: icmp_seq=71 ttl=103 time=79.0 ms
64 bytes from 172.217.192.138: icmp_seq=72 ttl=103 time=103 ms
64 bytes from 172.217.192.138: icmp_seq=73 ttl=103 time=128 ms
64 bytes from 172.217.192.138: icmp_seq=74 ttl=103 time=44.9 ms
64 bytes from 172.217.192.138: icmp_seq=75 ttl=103 time=65.0 ms
64 bytes from 172.217.192.138: icmp_seq=76 ttl=103 time=81.7 ms
64 bytes from 172.217.192.138: icmp_seq=77 ttl=103 time=105 ms
64 bytes from 172.217.192.138: icmp_seq=78 ttl=103 time=33.6 ms
64 bytes from 172.217.192.138: icmp_seq=79 ttl=103 time=146 ms
64 bytes from 172.217.192.138: icmp_seq=80 ttl=103 time=65.9 ms
64 bytes from 172.217.192.138: icmp_seq=81 ttl=103 time=87.3 ms
64 bytes from 172.217.192.138: icmp_seq=82 ttl=103 time=106 ms
64 bytes from 172.217.192.138: icmp_seq=83 ttl=103 time=127 ms
64 bytes from 172.217.192.138: icmp_seq=84 ttl=103 time=47.7 ms
64 bytes from 172.217.192.138: icmp_seq=85 ttl=103 time=66.9 ms
64 bytes from 172.217.192.138: icmp_seq=86 ttl=103 time=86.6 ms
64 bytes from 172.217.192.138: icmp_seq=87 ttl=103 time=108 ms
64 bytes from 172.217.192.138: icmp_seq=88 ttl=103 time=73.5 ms
64 bytes from 172.217.192.138: icmp_seq=89 ttl=103 time=45.4 ms
64 bytes from 172.217.192.138: icmp_seq=90 ttl=103 time=49.3 ms
64 bytes from 172.217.192.138: icmp_seq=91 ttl=103 time=85.5 ms
64 bytes from 172.217.192.138: icmp_seq=92 ttl=103 time=36.6 ms
64 bytes from 172.217.192.138: icmp_seq=93 ttl=103 time=36.6 ms
64 bytes from 172.217.192.138: icmp_seq=94 ttl=103 time=141 ms
64 bytes from 172.217.192.138: icmp_seq=95 ttl=103 time=58.3 ms
64 bytes from 172.217.192.138: icmp_seq=96 ttl=103 time=79.9 ms
64 bytes from 172.217.192.138: icmp_seq=97 ttl=103 time=105 ms
64 bytes from 172.217.192.138: icmp_seq=98 ttl=103 time=118 ms
64 bytes from 172.217.192.138: icmp_seq=99 ttl=103 time=139 ms
64 bytes from 172.217.192.138: icmp_seq=100 ttl=103 time=56.9 ms
64 bytes from 172.217.192.138: icmp_seq=101 ttl=103 time=76.8 ms
64 bytes from 172.217.192.138: icmp_seq=102 ttl=103 time=97.2 ms
64 bytes from 172.217.192.138: icmp_seq=103 ttl=103 time=82.0 ms
64 bytes from 172.217.192.138: icmp_seq=104 ttl=103 time=137 ms
64 bytes from 172.217.192.138: icmp_seq=105 ttl=103 time=55.6 ms
64 bytes from 172.217.192.138: icmp_seq=106 ttl=103 time=73.0 ms
64 bytes from 172.217.192.138: icmp_seq=107 ttl=103 time=91.8 ms
64 bytes from 172.217.192.138: icmp_seq=108 ttl=103 time=33.5 ms
64 bytes from 172.217.192.138: icmp_seq=109 ttl=103 time=122 ms
64 bytes from 172.217.192.138: icmp_seq=110 ttl=103 time=51.1 ms
64 bytes from 172.217.192.138: icmp_seq=111 ttl=103 time=72.1 ms
64 bytes from 172.217.192.138: icmp_seq=112 ttl=103 time=91.9 ms
64 bytes from 172.217.192.138: icmp_seq=113 ttl=103 time=112 ms
64 bytes from 172.217.192.138: icmp_seq=114 ttl=103 time=132 ms
64 bytes from 172.217.192.138: icmp_seq=115 ttl=103 time=49.7 ms
64 bytes from 172.217.192.138: icmp_seq=116 ttl=103 time=69.8 ms
64 bytes from 172.217.192.138: icmp_seq=117 ttl=103 time=89.7 ms
64 bytes from 172.217.192.138: icmp_seq=118 ttl=103 time=110 ms
64 bytes from 172.217.192.138: icmp_seq=119 ttl=103 time=130 ms
64 bytes from 172.217.192.138: icmp_seq=120 ttl=103 time=47.2 ms
64 bytes from 172.217.192.138: icmp_seq=121 ttl=103 time=67.1 ms
64 bytes from 172.217.192.138: icmp_seq=122 ttl=103 time=86.9 ms
64 bytes from 172.217.192.138: icmp_seq=123 ttl=103 time=107 ms
64 bytes from 172.217.192.138: icmp_seq=124 ttl=103 time=126 ms
64 bytes from 172.217.192.138: icmp_seq=125 ttl=103 time=45.0 ms
64 bytes from 172.217.192.138: icmp_seq=126 ttl=103 time=63.6 ms
64 bytes from 172.217.192.138: icmp_seq=127 ttl=103 time=82.5 ms
64 bytes from 172.217.192.138: icmp_seq=128 ttl=103 time=102 ms
64 bytes from 172.217.192.138: icmp_seq=129 ttl=103 time=120 ms
64 bytes from 172.217.192.138: icmp_seq=130 ttl=103 time=142 ms
64 bytes from 172.217.192.138: icmp_seq=131 ttl=103 time=57.5 ms
64 bytes from 172.217.192.138: icmp_seq=132 ttl=103 time=75.7 ms
64 bytes from 172.217.192.138: icmp_seq=133 ttl=103 time=98.1 ms
64 bytes from 172.217.192.138: icmp_seq=134 ttl=103 time=113 ms
64 bytes from 172.217.192.138: icmp_seq=135 ttl=103 time=132 ms
64 bytes from 172.217.192.138: icmp_seq=136 ttl=103 time=47.8 ms
64 bytes from 172.217.192.138: icmp_seq=137 ttl=103 time=71.7 ms
64 bytes from 172.217.192.138: icmp_seq=138 ttl=103 time=88.4 ms
64 bytes from 172.217.192.138: icmp_seq=139 ttl=103 time=107 ms
64 bytes from 172.217.192.138: icmp_seq=140 ttl=103 time=37.0 ms
64 bytes from 172.217.192.138: icmp_seq=141 ttl=103 time=42.1 ms
64 bytes from 172.217.192.138: icmp_seq=142 ttl=103 time=62.8 ms
64 bytes from 172.217.192.138: icmp_seq=143 ttl=103 time=78.2 ms
64 bytes from 172.217.192.138: icmp_seq=144 ttl=103 time=98.9 ms
64 bytes from 172.217.192.138: icmp_seq=145 ttl=103 time=33.5 ms
64 bytes from 172.217.192.138: icmp_seq=146 ttl=103 time=135 ms
64 bytes from 172.217.192.138: icmp_seq=147 ttl=103 time=51.1 ms
64 bytes from 172.217.192.138: icmp_seq=148 ttl=103 time=70.9 ms
64 bytes from 172.217.192.138: icmp_seq=149 ttl=103 time=89.2 ms
64 bytes from 172.217.192.138: icmp_seq=150 ttl=103 time=35.1 ms
64 bytes from 172.217.192.138: icmp_seq=151 ttl=103 time=128 ms
64 bytes from 172.217.192.138: icmp_seq=152 ttl=103 time=44.0 ms
64 bytes from 172.217.192.138: icmp_seq=153 ttl=103 time=62.4 ms
64 bytes from 172.217.192.138: icmp_seq=154 ttl=103 time=33.3 ms
64 bytes from 172.217.192.138: icmp_seq=155 ttl=103 time=106 ms
64 bytes from 172.217.192.138: icmp_seq=156 ttl=103 time=124 ms
64 bytes from 172.217.192.138: icmp_seq=157 ttl=103 time=43.3 ms
64 bytes from 172.217.192.138: icmp_seq=158 ttl=103 time=62.6 ms
64 bytes from 172.217.192.138: icmp_seq=159 ttl=103 time=79.7 ms
64 bytes from 172.217.192.138: icmp_seq=160 ttl=103 time=99.4 ms
64 bytes from 172.217.192.138: icmp_seq=161 ttl=103 time=119 ms
64 bytes from 172.217.192.138: icmp_seq=162 ttl=103 time=139 ms
64 bytes from 172.217.192.138: icmp_seq=163 ttl=103 time=33.8 ms
64 bytes from 172.217.192.138: icmp_seq=164 ttl=103 time=76.5 ms
64 bytes from 172.217.192.138: icmp_seq=165 ttl=103 time=96.2 ms
64 bytes from 172.217.192.138: icmp_seq=166 ttl=103 time=36.7 ms
64 bytes from 172.217.192.138: icmp_seq=167 ttl=103 time=134 ms
64 bytes from 172.217.192.138: icmp_seq=168 ttl=103 time=54.5 ms
64 bytes from 172.217.192.138: icmp_seq=169 ttl=103 time=74.9 ms
64 bytes from 172.217.192.138: icmp_seq=170 ttl=103 time=94.2 ms
64 bytes from 172.217.192.138: icmp_seq=171 ttl=103 time=115 ms
64 bytes from 172.217.192.138: icmp_seq=172 ttl=103 time=134 ms
64 bytes from 172.217.192.138: icmp_seq=173 ttl=103 time=51.7 ms
64 bytes from 172.217.192.138: icmp_seq=174 ttl=103 time=70.0 ms
64 bytes from 172.217.192.138: icmp_seq=175 ttl=103 time=88.8 ms
64 bytes from 172.217.192.138: icmp_seq=176 ttl=103 time=112 ms
64 bytes from 172.217.192.138: icmp_seq=177 ttl=103 time=130 ms
64 bytes from 172.217.192.138: icmp_seq=178 ttl=103 time=45.5 ms
